transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,is_in_customer_db,is_flagged,transaction_type,notes
a2ddbf86-f7af-4a4f-8845-0e9d3a14f1df,2023-09-08 09:28:03,21982.07,GBP,GB55XEYM15562323531664,GB49KFRF96960775566604,Norfolk Island,Garciabury,Liechtenstein,Lewisburgh,True,False,withdrawal,
bc9a91a3-2ce7-4b30-b0b0-953ed77ebbf0,2023-08-09 10:53:05,30354.46,SEK,GB26RWNB53233062305344,GB05TILO62086797684683,Tokelau,Kelseyfurt,Eritrea,Brownview,True,True,payment,
54f62e66-c9fb-42e3-a55e-c2e2ed9d8c23,2023-05-12 07:54:12,48638.92,GBP,GB88VMGZ50864315717688,GB02KQBS10674659974161,South Africa,Port Melissaburgh,United States of America,Lopezville,True,True,payment,
90463448-78b6-4de1-9bfb-e16c7ab14a2d,2023-01-01 23:21:41,32604.63,SEK,GB92JIDF77204024898033,GB08PDHY87726776340116,Venezuela,East Keith,New Zealand,Lake Adam,True,True,withdrawal,
371c3c2f-12a0-42b4-9e66-ca98e769f0d1,2023-02-28 13:25:07,49124.96,USD,GB18LYOZ22226051687903,GB91YCMX65868596199443,Maldives,Beckbury,Australia,Ericville,True,True,payment,
0ff0b27d-d91a-4f05-b974-770a14397b19,2023-03-09 19:11:06,23327.42,EUR,GB55ABJR51258345124244,GB17PPBC54608079507980,French Southern Territories,Casechester,Syrian Arab Republic,Vangbury,True,False,transfer,
1cc99fbf-f874-4178-9af2-831ead0ad837,2023-04-05 10:44:22,21680.48,USD,GB73BGDT46085245828766,GB60HNDO53132529081776,Fiji,Hallhaven,Egypt,New Jason,True,False,deposit,
4690a774-9c25-45b2-929e-b9c1d80dcc95,2023-06-22 16:20:13,17622.71,SEK,GB20HAUN51370166745322,GB09AUMY49112854873558,Papua New Guinea,Kristinaville,Uzbekistan,Howardport,True,False,payment,
9612765f-66bb-43d6-87b7-6727c7fa5c41,2023-08-12 10:16:58,24575.83,EUR,GB14LANM08444569510890,GB63PRKW77775819466811,Croatia,,Thailand,Port Amyburgh,True,True,withdrawal,
6341ac5a-8932-44fd-b663-4e47e6c9b3dd,2023-08-23 15:13:29,9076.11,USD,GB22VEFT98345922553634,GB24VXVU60244813211685,Niger,Hollyview,Azerbaijan,Palmerbury,True,False,deposit,
4d8a7930-707c-4815-ae0a-8b8649c5d19e,2023-04-07 10:56:36,27641.12,USD,GB53LZUP82001704563296,GB55KQQR98112149708256,Namibia,Port Michael,Kuwait,Muellerberg,True,True,transfer,
bf3d5409-080d-40bb-99a9-66343a442719,2023-08-13 22:36:13,28426.67,USD,GB46WYNJ13476623657222,GB02BWYM18398060612273,Macao,South Brianstad,Austria,New Markport,True,False,withdrawal,Ready environmental speech would fill heavy.
d774e9f5-70a9-49a5-b10a-92b357d96cf4,2023-03-01 10:57:10,737.48,USD,GB16JYDS80023440404926,GB93OUKZ37192321016186,Honduras,Lake Alanfurt,Kyrgyz Republic,Mccannport,True,False,payment,
1debe9a6-d28a-4dfe-a187-e51b4855e7d2,2023-06-29 07:19:02,40923.73,SEK,GB36QUGW80659310063277,GB30BUIC51726766866882,Northern Mariana Islands,East Heatherport,Honduras,Robinsontown,True,False,withdrawal,
efc9a2c6-687c-441f-b8b2-75767cbc5891,2023-01-21 07:58:32,21178.89,GBP,GB46VDCG36129360020191,GB93LJGV18994225209361,Gambia,New Davidbury,Romania,Rodriguezberg,False,True,withdrawal,
481d71b1-2aa4-4800-983c-725b1cc8d8b3,2023-10-23 07:00:54,4271.48,USD,GB78BTGT34535543149061,GB77HTFE33815844389630,Cameroon,Jonathanhaven,British Virgin Islands,Ashleyside,True,False,withdrawal,
b9bfd8cd-7327-462f-b873-969e97daa299,2023-09-05 21:05:16,1382.35,USD,GB75AUJO48696930545387,GB32GKLN58633845330483,Saint Lucia,New Daniel,Slovakia (Slovak Republic),Wardport,True,False,payment,
4821bf97-4de6-44a4-9a92-efabee4e8ad9,2023-09-17 14:58:07,40796.87,EUR,GB38YTPU53169864071457,GB20OAPJ58481322718567,Bermuda,Frederickport,Congo,Lake Elizabethtown,True,False,deposit,Television bad both into character anything compare type name hand benefit create government.
0c82a402-0948-4618-bb33-9372dad7bd62,2023-10-31 23:13:16,15706.32,USD,GB39TPIE63653838127125,GB64OHMA98921499361620,Norfolk Island,Port Carrietown,Trinidad and Tobago,Nelsonmouth,True,False,payment,
a1d34db2-b0cd-448b-8ba0-c5c34f763aa7,2023-11-22 20:36:29,45644.94,EUR,GB44MYND84155607661543,GB36RJFM92363665723187,Kyrgyz Republic,Port Patrickmouth,Ukraine,Lake Lauren,False,True,transfer,
5233d086-b41f-4768-97a8-4b10573a60ed,2023-05-20 07:05:01,12146.17,GBP,GB61GEPO08441013947663,GB51BDIY50166816865870,Paraguay,North David,Western Sahara,Scotthaven,True,False,payment,
d0296122-d291-4296-ba8f-c2de14489fef,2023-07-08 18:56:50,35145.68,USD,GB82QNVK94758246151135,GB85SLJQ96952079683725,,Davidside,South Africa,North Caitlin,True,True,payment,
7c2fa596-18dc-4371-b6ed-2e1f94232f68,2023-10-27 18:08:54,21486.88,EUR,GB90RRDO07353383095659,GB60IRSU68663441538874,Haiti,Gonzalezside,Bangladesh,Troyshire,False,True,transfer,
23a51959-79c2-4177-860e-10ae4b45af07,2023-01-13 22:18:40,14820.48,USD,GB90FTAV84562625568144,GB07TODO74736218071971,New Zealand,Maryborough,Greece,Hickschester,True,False,transfer,
0f02cedf-7615-4476-8d76-36dfc5d89940,2023-10-19 14:43:50,32935.32,USD,GB20ZQZG57892516674892,GB71FLFE78017367026583,Mexico,Lake Laurie,Russian Federation,Smithmouth,True,False,transfer,
5bfb2cca-d994-4e4d-a050-31ee75f4edb7,2023-04-25 16:28:43,41147.47,GBP,GB40JLMQ72647689467288,GB16HQWL71664814896268,Micronesia,South Markbury,Korea,Nicolebury,True,True,deposit,
77e62d85-0e3e-4897-903d-f1f19f32b5cc,2023-03-02 18:36:29,287.0,SEK,GB18LSKZ22468911501843,GB96ASLJ11847121585227,Slovenia,Port Suzanne,Bouvet Island (Bouvetoya),North Janet,True,False,deposit,
ce665def-c33d-4f4d-b8a5-e347cea2def3,2023-02-01 12:08:19,2905.19,SEK,GB63PLIG88502200671078,GB22UPSD57320554831095,Cote d'Ivoire,Sanchezstad,Kyrgyz Republic,North Thomasshire,True,False,withdrawal,
0b43bc08-16c4-48a8-b39f-673221604b58,2023-03-30 07:21:21,36044.96,USD,GB41DNRT34785985287109,GB03COMD32659436106576,Barbados,Janiceport,Denmark,Kirstenmouth,True,False,withdrawal,
114743f2-7378-40cc-861b-79d28397abb9,2023-12-20 06:11:56,25505.69,USD,GB58IIVS89677960068483,GB03JCNC97682964443177,Palau,North Randymouth,Guyana,Blakeburgh,True,True,withdrawal,
91e9c2cc-a22d-4908-82f1-f8e783e23a05,2023-12-05 01:15:58,31655.69,USD,GB09GEBU38450471964271,GB20PCXD23266063410114,Monaco,East Michelleburgh,French Polynesia,Port Mackenziefort,True,True,deposit,
1448241e-80cc-4cdb-9af8-5fcbdb489511,2023-08-20 16:20:09,5231.21,USD,GB65DISD79191265163401,GB12SFAK36169539259488,Cameroon,Port Mariamouth,Cape Verde,Jamesside,True,False,payment,
f84cde86-ce00-49a9-b550-c53c78d1d554,2023-03-09 23:11:51,31719.58,GBP,GB98RURB70502173908002,GB40WVTZ75102767480230,Madagascar,Hillhaven,Saint Lucia,Josephbury,True,False,payment,
1f4f9c37-856e-487c-b1fa-7e2ded4f2fb9,2023-05-19 11:14:01,9995.43,EUR,GB40MVBQ61944603935517,GB74QWYF03341444226601,Guatemala,Port Mary,Guinea-Bissau,Powellfurt,True,False,deposit,
2dcd0bc2-cda5-4d7c-a0c4-0077c66981df,2023-02-02 16:56:29,44102.45,GBP,GB19RVJU72716674492161,GB81VUKX95559773443927,Oman,East Andrew,Canada,Martinside,False,True,withdrawal,
aaa9c6d0-2b5e-40eb-aebf-63077eeb3530,2023-05-22 18:23:05,15716.3,GBP,GB62QYPL20942760854626,GB33YSKV30144413077049,Hungary,East Victoriatown,Canada,Mckenziebury,True,True,withdrawal,
7d8ca8f5-fe10-4794-bf64-d666dd419612,2023-03-29 12:10:01,32057.61,SEK,GB79EEXS07711334536421,GB26ZBLF73086323649200,Tajikistan,Aaronfort,Israel,Walkerville,True,False,deposit,
ddf79b38-e51d-47ae-87a9-d962cba65fcb,2023-10-09 17:58:27,8631.31,GBP,GB67EFBK25407866627110,GB19OLNG58444602721578,Cambodia,Port Joeshire,Central African Republic,New Julie,True,False,withdrawal,
be277d30-4025-4ac6-ac6b-1ea81a94cbb9,2023-04-02 07:00:20,16272.43,USD,GB67TJPB91183865333858,GB06QGNV01552699619905,Niue,Lake Cynthia,Belize,East Ronniehaven,True,True,payment,
6175c26d-d17e-46a4-8da8-97d3ab1e51e9,2023-01-19 13:23:44,16061.68,SEK,GB04TAXY74257781680194,GB98BLQH24873572692009,Angola,Kennethburgh,Cyprus,New Briana,True,True,transfer,
ee527831-3169-4e97-a80a-434c295e47fc,2023-08-05 15:21:36,29102.34,USD,GB74BUOG71984277486563,GB45AYRH88923146379871,Djibouti,Jamiemouth,Comoros,East Melanieton,True,False,withdrawal,
9e533dd6-b624-4052-a5f7-52e0ddb55321,2023-12-07 06:13:07,43784.93,EUR,GB20ATCB96748138833301,GB40VPCE49518965296131,Haiti,Nancymouth,Sao Tome and Principe,North Meghan,True,False,withdrawal,
619ccd36-f8c4-4d10-a722-9f5281930d15,2023-01-13 18:05:10,39444.97,GBP,GB77HTFE33815844389630,GB50YFJG52969540846428,Costa Rica,East Kent,Wallis and Futuna,Johnsonmouth,True,False,withdrawal,
9adeb4db-6d13-4da5-a3c4-9b812348747c,2023-11-20 16:23:37,24100.3,USD,GB60RXKP55283989022633,GB66OMZA87453246499250,Turks and Caicos Islands,Maciasport,Brazil,Cunninghammouth,True,True,withdrawal,Professor minute them.
4eb246ad-ff8f-43e7-ab4f-ebb571e6a431,2023-09-21 10:28:28,48107.9,SEK,GB80QILA91444679642721,GB47GYVA29328597425055,Cyprus,Dannyburgh,Iraq,Ruthchester,True,False,payment,
43efa4f6-3477-498b-ac23-3428be100fa1,2023-10-18 11:12:10,17609.98,GBP,GB42BIRX40907665183313,GB09WSTB39600999850871,Botswana,Thomasshire,Romania,South Toddmouth,False,True,withdrawal,
b01a2379-aa2d-4818-a897-9f5004c016df,2021-12-17 16:47:07,12281.01,EUR,GB62QDWU97333871542553,GB70ZECA55779709283364,Zambia,Port Jonathanland,Djibouti,Sabrinaville,True,True,transfer,
479cc97d-6c0b-4b2d-9268-abfdd937f429,2023-01-01 19:16:19,34789.99,EUR,GB62UCFK54122832359341,GB13NSFY11197683261602,Cameroon,Garciabury,Dominica,East Tanyastad,True,True,withdrawal,
56c6bd3f-796d-4d3c-bfc4-e70baa4d31c3,2023-03-10 18:24:28,20669.27,SEK,GB80BNTI95737296237461,GB92CWSD69765620380588,Pakistan,Wesleyside,Mongolia,South Victoria,True,False,payment,Camera huge tonight radio.
fe993686-f1d7-4ebd-9386-a2a597afb0d6,2023-09-08 18:16:56,27427.83,EUR,GB60LIUO13960362029162,GB89IUFE29456177094814,Brazil,Johnsonfort,Afghanistan,Lake Deborah,False,True,withdrawal,
56dc1d46-201d-4e5b-81a5-3b8a3e4d7955,2023-01-19 16:40:34,8936.84,USD,GB07XWFP06022183402730,GB82RIOH36053751842880,Venezuela,Port Michael,Norfolk Island,North Alisha,True,False,payment,
4f19b53e-623c-47b4-8578-7ae2e65ece9f,2023-09-02 13:59:15,2384.21,SEK,GB15XMLY37977171522288,GB64UALK49425189295513,Norfolk Island,Laurenstad,Svalbard & Jan Mayen Islands,New David,True,False,deposit,
3dc7ecab-500f-4e98-9f1a-52a07e6bb3d3,2023-01-14 20:34:39,12927.5,GBP,GB70LNTO24334910873781,GB32LVHU94963407830282,Puerto Rico,Lake Susanshire,Myanmar,West Anthony,True,True,deposit,
6e8fe384-c5ff-4f4b-8f73-fc45553ec64c,2023-04-01 16:23:50,34292.33,USD,GB10SYLJ07629022961678,GB44RDWT09368067364366,New Caledonia,East Roberthaven,Austria,Montgomeryview,True,True,payment,
9f4af512-7236-4335-9dc9-3d556f01c33b,2023-02-18 07:19:51,30224.71,SEK,GB24RGTV53499209270243,GB66VKEQ56077254145859,Bosnia and Herzegovina,Taylorview,Micronesia,Sanchezstad,True,True,transfer,
c06cca76-cd2b-4693-b6e0-d25db00e08e4,2023-06-30 08:57:45,38209.28,EUR,GB68BTEY60664639933603,GB70RPAM10224712711090,Libyan Arab Jamahiriya,East Elizabethside,Palestinian Territory,Lake Michael,True,False,withdrawal,
d2e3f547-bc1d-49e3-9bbd-fda5254d5720,2023-08-31 17:58:48,35466.51,GBP,GB11QMMF90799162676744,GB60LXSD23135836652252,Iran,Port Curtis,Lithuania,Hamiltonfurt,True,True,deposit,
37494865-659b-4c16-a360-f8a98700260e,2023-05-20 23:08:24,29694.5,USD,GB85LATF20573987604016,GB91GHQA26156413294947,Korea,Alvaradostad,Cayman Islands,New Lauren,True,False,payment,
2b4d69bc-52a0-4003-b2f0-b80d2a74fd2e,2023-07-23 21:44:01,8021.33,USD,GB79PBBD24361412015331,GB38AHAS84690059015025,Haiti,Richardsonport,India,Port Catherine,True,False,deposit,
ef33c177-4bea-4d6f-aecc-38a773630b02,2023-10-14 23:13:55,47778.23,GBP,GB42TQFM87747686340725,GB24VXVU60244813211685,Antigua and Barbuda,Meredithville,Iceland,East Jessemouth,True,False,payment,
16bfc09e-cc01-40b9-ab5e-dc6bfb320188,2023-09-18 21:06:44,29957.32,SEK,GB25OEGV54226881685533,GB14GHZN46006918867066,Sao Tome and Principe,Nicholasville,Japan,West Traci,True,True,payment,Design forward character section data forward real.
3c86d48a-916f-4633-b8d9-13e76be76553,2023-02-17 18:55:28,42196.03,GBP,GB37FCCR01507028284475,GB53JANE97203518589308,Lesotho,Daniellemouth,Ghana,Lake Alexanderport,True,False,withdrawal,
0016e133-32d3-423a-936a-6d6cdd205354,2023-06-02 02:51:45,34483.68,GBP,GB59CKBR93855221905212,GB90KIOC59243094126626,Somalia,Lake Jacobberg,Lebanon,East Julie,True,True,payment,
d03c2e91-e0ff-4af8-8a7b-956a9e2559d3,2023-04-17 22:58:45,21089.17,USD,GB37QGBU44830401248861,GB08JHBY68688386053515,Brunei Darussalam,Lake Randall,Mali,Pachecoburgh,True,False,transfer,
6a84d77e-f44c-45d5-bd5a-941a3f542a11,2023-09-09 22:59:02,12235.75,GBP,GB90FLXC24704603445177,GB85GLIB28083101601798,Czech Republic,Bryanview,United Kingdom,West Angela,True,True,withdrawal,
5be6b34f-85d9-47e9-8e80-2de858050dbc,2023-03-11 14:29:03,3986.29,SEK,GB57XRUO37071884661234,GB97UIFK85822636498848,,Port David,Guyana,South Janefurt,True,False,payment,
b110e736-bde2-46c3-a61d-1364f7d72602,2023-08-27 19:53:17,45800.81,EUR,GB03WBDA74589918298829,GB76LFLW50619559712506,Germany,North Danieltown,Bhutan,West Matthew,True,True,withdrawal,
c5ba9a38-87eb-4182-88cf-38869a44b197,2023-09-09 22:26:24,126.75,SEK,GB93HCTF78500034287471,GB42XFHW53628643653021,United Kingdom,New Robertoberg,Israel,Lake David,True,False,withdrawal,Know cold police tell method street color lay finish.
dd602688-b615-4b69-93ed-1b827f446866,2023-04-05 17:05:17,5487.74,GBP,GB81RAHW44323890252184,GB91CZUP41675232544671,Austria,East Laurafort,Micronesia,Lake Joseph,True,False,payment,
7558062b-2cdc-4343-9ec7-67b96dde9aec,2023-04-01 23:13:47,3411.24,SEK,GB70LNTO24334910873781,GB56TTEG91990785464184,Macao,East Nicholas,Saudi Arabia,North Edward,True,False,payment,
d8e3c712-232a-4d59-89aa-d4cb820a7c68,2023-04-09 16:41:50,27270.47,EUR,GB38YTPU53169864071457,GB51EMET21673136201545,Cameroon,Lake Denise,Martinique,East Christopher,True,False,payment,
9b65197a-0d69-476a-83a3-d87c2d06d937,2023-09-06 12:13:29,517.82,SEK,GB51CWRX53643350346297,GB32UNZT09617216969561,British Indian Ocean Territory (Chagos Archipelago),Foxmouth,Sweden,Thomasside,True,False,transfer,
a1905018-9635-4d5c-97d9-a53bd140163c,2023-07-15 18:07:04,20393.35,USD,GB09RBOZ79473252572216,GB77EWPX66862586725935,Greece,Michaelhaven,Morocco,Gordonbury,True,True,deposit,Huge mission Mrs life task.
02e1ea3b-0a02-4199-8369-751de1a08b15,2023-11-14 08:03:48,9855.75,USD,GB70PIIM71195982384140,GB38LZOQ85651856200941,Kyrgyz Republic,Angeltown,Cook Islands,Jeffreyfort,False,False,payment,
fd855159-f114-4557-af98-0ea4c7cc20f3,2023-06-25 13:46:21,20829.24,SEK,GB06LCJU68716568313480,GB31PJKD56197347304478,Macao,North Erika,Jersey,Johnnymouth,True,False,payment,
c72f6c6c-ff80-40b3-8658-473a929b9c15,2023-05-03 19:58:52,26450.28,USD,GB53GCQT78608912045572,GB93MJIX74286267886953,Guadeloupe,Williamsfort,United States of America,Kimberlymouth,True,True,deposit,
e44fa547-5564-497c-bd47-edc15fcfdb73,2023-03-07 16:49:44,6499.23,EUR,GB42OWPM79979601450949,GB12IXZQ21749684599941,Norfolk Island,Shawnberg,Suriname,South Matthew,False,False,payment,
1854d4f1-90ea-4d23-838a-0c3411be9bc9,2023-01-24 19:02:52,18306.83,GBP,GB81DUBF80956882221736,GB81FXUG57415213572076,Bahamas,Jessicamouth,American Samoa,South Brianberg,True,False,withdrawal,
5497897e-0f91-49ca-a4cd-94fbfb41b562,2023-05-24 08:08:35,20275.48,GBP,GB82SZXR64622865531978,GB39UKML51272075592683,Saint Kitts and Nevis,East Shane,Togo,South Luis,True,False,withdrawal,
0dfce6f8-2152-44bf-8ae9-b973833a92fe,2023-10-27 23:41:22,32012.11,SEK,GB03HXVT03386520280957,GB15VAHN45125878165018,Argentina,Lake Dustinfurt,Latvia,Sandrashire,True,False,deposit,
2117cbeb-88fc-4f1d-a964-80b2e574018c,2023-09-27 13:57:53,40460.99,USD,GB82UJWR13089559648000,GB25KPEX29778013543245,Latvia,Lake Richardstad,Cayman Islands,North Josephton,True,True,payment,
94ee5e31-eac5-42ba-ac94-8db9b4887f01,2023-12-02 07:52:04,43635.58,SEK,GB65FKIE66977715501004,GB89QFWN09356091076409,Belarus,Manninghaven,Israel,Lake Marciaberg,True,False,payment,
062018a1-db19-4f45-bfcc-fe4fc2b047f7,2023-07-22 08:00:22,1876.2,SEK,GB76LFGR29113640097096,GB18HJUV06197983040536,Iceland,Brownbury,Liberia,East Kimberly,True,False,transfer,Operation player human remain.
9e099350-5872-4ddc-87a4-868fb2b04e5b,2023-05-01 15:41:48,41758.27,EUR,GB15RJPA78748641610280,GB85JEES40171747917978,San Marino,New William,Jordan,Rodriguezville,True,False,withdrawal,
2ef61412-5da4-48c1-aa2e-c0ec7071305b,2023-05-14 22:49:22,18566.33,SEK,GB32ASLA06754511065735,GB11LLWI01414817203302,Peru,East Melissafort,Mali,Montgomeryville,False,True,payment,
952e38d0-2d1a-4000-a880-9258136ee372,2023-01-30 08:51:55,26706.52,EUR,GB89GMVA94637417142737,GB08PDHY87726776340116,Korea,Lake William,Jamaica,North Charles,True,False,withdrawal,
848bc616-b776-4db9-a705-400d09358ea9,2023-08-09 08:53:50,18126.52,EUR,GB43ARNG88136566660962,GB77QESO72880503777169,Guinea,South Kayla,Western Sahara,Jacksonport,True,False,withdrawal,
371030e0-005c-43b4-aff3-ed01bffaadd1,2023-08-19 07:21:41,2953.98,SEK,GB25IDRT98748824761068,GB53TLSN62780989472128,Palau,New Paulview,Liberia,Higginsmouth,True,False,withdrawal,
03be310e-153a-4f9b-aac1-f650ff4ca893,2023-03-22 14:12:55,30913.13,EUR,GB12SFAK36169539259488,GB40DAWJ64981758867014,Malaysia,Williammouth,Papua New Guinea,Port Lisa,True,False,deposit,
2c1261c2-3597-437d-bb9d-917b5130fbb6,2023-08-09 11:39:46,7915.1,EUR,GB96GIYM39537813548980,GB66PQLT10997423743291,Uganda,North Donald,Malawi,Elizabethville,True,False,payment,
5f418df9-fa36-403d-8076-4bde3063f435,2023-08-04 17:00:54,47248.86,USD,GB62NFQL13873911741797,GB93VFSH22830510174753,Mozambique,South Danielbury,Venezuela,West Jessica,True,True,withdrawal,
8425123b-5949-45ed-8d95-6b06274b6d48,2023-08-16 06:15:29,14245.9,EUR,GB18ZCWZ59253304418687,GB22KNFN85157901743729,Cocos (Keeling) Islands,North Christine,Cuba,Tammyhaven,True,False,deposit,
6f2a88d7-ece9-40b9-a055-44f519a5a9ec,2023-07-17 15:21:37,36470.96,GBP,GB38QWZK27124507991103,GB15DKAD03010997215084,El Salvador,Hansenfurt,Guinea-Bissau,Lake Sarah,True,True,transfer,Explain lawyer region poor money center that.
271c0e25-4774-496d-8f94-04aae898eac0,2023-09-30 07:54:50,12471.08,EUR,GB31SUVA35178434254380,GB56ZRZG88252434966530,British Virgin Islands,Lake James,Gibraltar,West Brent,False,True,withdrawal,
5d75edc7-6061-4704-9f4e-f0be75212f4d,2023-08-12 06:28:43,17098.73,EUR,GB53VQJV65137136466847,GB74GUFG42990741104158,Brunei Darussalam,North Gregoryland,Philippines,Newmanland,True,True,deposit,
921c0fd2-8014-4837-9420-5e1cc56bbefa,2023-01-04 16:58:01,16508.26,USD,GB90IJLS37586319928937,GB02GLRU17550319238588,Anguilla,New Samanthahaven,Iran,South Hollyberg,True,True,payment,
3d38f530-d188-4cb9-b464-add83cb07a4d,2023-04-05 23:42:09,46597.26,GBP,GB70FLOB49396666033368,GB81LGTG03145434882833,Micronesia,Spencerland,Slovenia,New Dawnshire,True,False,withdrawal,
86aea64d-38c0-473e-9638-2eae0673e971,2023-11-05 19:20:37,5687.65,USD,GB18LSKZ22468911501843,GB65YETQ38539059594723,Afghanistan,Raystad,,Collierborough,True,False,withdrawal,
74ff5d7e-1b1f-4889-a2cf-58d757a5f548,2023-03-30 08:23:22,14858.57,EUR,GB38UZIT12213736647236,GB07XKPL34682076688668,Serbia,Russellport,Papua New Guinea,Williamschester,True,True,deposit,
4fde5a88-34fd-4f44-bc35-27c99aefe472,2023-05-16 21:50:32,12579.51,USD,GB38MDTL98229829977591,GB17AKKU89204763364950,Turks and Caicos Islands,New Carlosville,Malaysia,West Christinetown,True,True,transfer,Still mouth condition happen wall.
9083b5fb-04ed-46a4-b478-1d170b426058,2023-02-11 20:11:49,3779.53,GBP,GB47EKHW30276356067714,GB78BBRD92839007294170,Malta,East Jessicafort,French Guiana,Port Jeremy,True,False,payment,Base event president final reason Congress.
bd4993fa-1224-42c2-a12d-763c5b346c5f,2023-06-05 16:39:02,34954.73,USD,GB72JXKV98070055737037,GB91KTLU55175827081295,Ghana,Lake Maryfort,Italy,South Jennifer,True,True,withdrawal,
e0933505-8d69-4a69-927f-a0c84846a84b,2023-04-02 11:22:45,39857.78,GBP,GB66NJBU29039281861175,GB87JZRW56826479390650,Guinea-Bissau,Marvinton,Saint Barthelemy,Katherineburgh,True,True,transfer,
4a75c0e0-2a4d-4f57-8b8d-fee999eba617,2023-03-06 07:42:34,10477.13,USD,GB45GDBK54143923839747,GB07CEJQ70404605763751,Norway,West Deannastad,Nepal,Port Gabriel,True,True,payment,
7d2e7cc2-d404-4fd4-8c0b-173b83c9afec,2023-03-28 13:26:59,30245.65,SEK,GB16CIMM70088351468133,GB97UMAN90348487595647,New Caledonia,New Chelseachester,Poland,Leonville,True,False,payment,
3795b2f4-2936-4169-b33a-da28e25f053a,2023-09-26 15:55:23,3201.93,SEK,GB84ARPG41194352965986,GB79YYUD45743130606910,Belarus,Chapmanton,Saint Helena,North Brittanyfort,True,False,transfer,
74882b8a-4545-4a13-a11b-1bbead975f44,2023-11-09 08:38:08,27381.95,EUR,GB45RTJV88096915152317,GB93VFSH22830510174753,Saint Martin,Jameston,Marshall Islands,Hardybury,True,False,transfer,
f02a26db-7bbf-4577-865e-9bc07c01b1c4,2023-08-29 21:16:37,514.46,GBP,GB73BGDT46085245828766,GB86ZZRD96054780492182,Heard Island and McDonald Islands,New Patrickburgh,Saint Lucia,Frankville,True,False,deposit,
4ac8ea15-b5d9-4a4a-9a47-e62d2bb3d329,2023-02-26 06:06:20,47557.23,GBP,GB32FKSB01141757752740,GB57PKTH13332666827926,Belize,Delacruzville,Jordan,North Becky,True,True,deposit,
474a8911-5624-4bb4-beaa-831630652b4f,2023-06-13 06:58:24,21963.35,GBP,GB89TEGD29338923174065,GB46WJHC96626200305190,Bahrain,Vazquezchester,Saint Vincent and the Grenadines,North Paul,True,True,transfer,
